ASV_ID,species_id,species_name,species_group,similarity
ASV001,Pagrus_major,真鲷,鱼类,0.9787
ASV002,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV003,Actinobacteria_sp,放线菌,细菌,0.9785
ASV004,Alphaproteobacteria_sp,α-变形菌,细菌,0.9785
ASV005,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV006,Pagrus_major,真鲷,鱼类,0.9787
ASV007,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV008,Pagrus_major,真鲷,鱼类,0.9787
ASV009,Pagrus_major,真鲷,鱼类,0.9787
ASV010,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV011,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV012,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV013,Pagrus_major,真鲷,鱼类,0.9787
ASV014,Pagrus_major,真鲷,鱼类,0.9787
ASV015,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV016,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV017,Pagrus_major,真鲷,鱼类,0.9787
ASV018,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV019,Pagrus_major,真鲷,鱼类,0.9787
ASV020,Pagrus_major,真鲷,鱼类,0.9787
ASV021,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV022,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV023,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV024,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV025,Pagrus_major,真鲷,鱼类,0.9787
ASV026,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV027,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV028,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV029,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV030,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV031,Pagrus_major,真鲷,鱼类,0.9787
ASV032,Pagrus_major,真鲷,鱼类,0.9787
ASV033,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV034,Lateolabrax_japonicus,花鲈,鱼类,0.9787
ASV035,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV036,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV037,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV038,Pagrus_major,真鲷,鱼类,0.9787
ASV039,Acanthopagrus_schlegelii,黑鲷,鱼类,0.9787
ASV040,Lateolabrax_japonicus,花鲈,鱼类,0.9787
