,QZ_A_1,QZ_A_2,QZ_A_3,QZ_B_1,QZ_B_2,QZ_B_3,QZ_C_1,QZ_C_2,QZ_C_3,QZ_R_1,QZ_R_2,QZ_R_3
QZ_A_1,0.0,0.6666666666666666,0.17850953206239167,0.5329949238578681,0.9355932203389831,0.9361344537815126,0.9062027231467473,0.4962962962962963,0.9092284417549168,0.9706959706959707,1.0,0.9600725952813067
QZ_A_2,0.6666666666666666,0.0,0.6787564766839378,0.8920741989881956,0.6182432432432432,0.5845896147403685,0.43288084464555054,0.914327917282127,0.4358974358974359,0.40875912408759124,1.0,0.9602169981916817
QZ_A_3,0.17850953206239167,0.6787564766839378,0.0,0.5454545454545454,0.9359190556492412,0.9364548494983278,0.9066265060240963,0.46607669616519176,0.9096385542168675,0.970856102003643,1.0,0.9602888086642599
QZ_B_1,0.5329949238578681,0.8920741989881956,0.5454545454545454,0.0,0.7957166392092258,0.9117647058823529,0.9321533923303835,0.6589595375722543,0.9380530973451328,0.9715808170515098,1.0,0.971830985915493
QZ_B_2,0.9355932203389831,0.6182432432432432,0.9359190556492412,0.7957166392092258,0.0,0.3191489361702128,0.55096011816839,0.849493487698987,0.5745937961595273,0.5195729537366548,0.872113676731794,0.8447971781305115
QZ_B_3,0.9361344537815126,0.5845896147403685,0.9364548494983278,0.9117647058823529,0.3191489361702128,0.0,0.41055718475073316,0.7413793103448276,0.4340175953079179,0.35802469135802467,0.7429577464788732,0.7237762237762237
QZ_C_1,0.9062027231467473,0.43288084464555054,0.9066265060240963,0.9321533923303835,0.55096011816839,0.41055718475073316,0.0,0.6614173228346457,0.17379679144385027,0.27330173775671407,0.7760252365930599,0.7492163009404389
QZ_C_2,0.4962962962962963,0.914327917282127,0.46607669616519176,0.6589595375722543,0.849493487698987,0.7413793103448276,0.6614173228346457,0.0,0.6587926509186351,0.7650695517774343,0.7839506172839507,0.7576687116564417
QZ_C_3,0.9092284417549168,0.4358974358974359,0.9096385542168675,0.9380530973451328,0.5745937961595273,0.4340175953079179,0.17379679144385027,0.6587926509186351,0.0,0.2859399684044234,0.7949526813880127,0.768025078369906
QZ_R_1,0.9706959706959707,0.40875912408759124,0.970856102003643,0.9715808170515098,0.5195729537366548,0.35802469135802467,0.27330173775671407,0.7650695517774343,0.2859399684044234,0.0,0.7379576107899807,0.7131931166347992
QZ_R_2,1.0,1.0,1.0,1.0,0.872113676731794,0.7429577464788732,0.7760252365930599,0.7839506172839507,0.7949526813880127,0.7379576107899807,0.0,0.16412213740458015
QZ_R_3,0.9600725952813067,0.9602169981916817,0.9602888086642599,0.971830985915493,0.8447971781305115,0.7237762237762237,0.7492163009404389,0.7576687116564417,0.768025078369906,0.7131931166347992,0.16412213740458015,0.0
