sample_id,species_name,species_group,count,relative_abundance
QZ_A_1,真鲷,鱼类,2,0.7
QZ_A_1,黑鲷,鱼类,20,6.97
QZ_A_1,放线菌,细菌,12,4.18
QZ_A_1,α-变形菌,细菌,30,10.45
QZ_A_1,花鲈,鱼类,0,0.0
QZ_A_1,互花米草,入侵植物,64,22.3
QZ_A_1,γ-变形菌,细菌,140,48.78
QZ_A_1,西施舌,底栖生物,0,0.0
QZ_A_1,中华鲟,珍稀鱼类,0,0.0
QZ_A_1,缢蛏,底栖生物,0,0.0
QZ_A_1,箭虫,浮游动物,0,0.0
QZ_A_1,中华哲水蚤,浮游动物,19,6.62
QZ_A_2,真鲷,鱼类,5,1.73
QZ_A_2,黑鲷,鱼类,14,4.84
QZ_A_2,放线菌,细菌,7,2.42
QZ_A_2,α-变形菌,细菌,158,54.67
QZ_A_2,花鲈,鱼类,0,0.0
QZ_A_2,互花米草,入侵植物,66,22.84
QZ_A_2,γ-变形菌,细菌,21,7.27
QZ_A_2,西施舌,底栖生物,0,0.0
QZ_A_2,中华鲟,珍稀鱼类,0,0.0
QZ_A_2,缢蛏,底栖生物,0,0.0
QZ_A_2,箭虫,浮游动物,0,0.0
QZ_A_2,中华哲水蚤,浮游动物,18,6.23
QZ_A_3,真鲷,鱼类,2,0.69
QZ_A_3,黑鲷,鱼类,17,5.86
QZ_A_3,放线菌,细菌,12,4.14
QZ_A_3,α-变形菌,细菌,28,9.66
QZ_A_3,花鲈,鱼类,0,0.0
QZ_A_3,互花米草,入侵植物,61,21.03
QZ_A_3,γ-变形菌,细菌,151,52.07
QZ_A_3,西施舌,底栖生物,0,0.0
QZ_A_3,中华鲟,珍稀鱼类,0,0.0
QZ_A_3,缢蛏,底栖生物,0,0.0
QZ_A_3,箭虫,浮游动物,0,0.0
QZ_A_3,中华哲水蚤,浮游动物,19,6.55
QZ_B_1,真鲷,鱼类,18,5.92
QZ_B_1,黑鲷,鱼类,84,27.63
QZ_B_1,放线菌,细菌,3,0.99
QZ_B_1,α-变形菌,细菌,16,5.26
QZ_B_1,花鲈,鱼类,4,1.32
QZ_B_1,互花米草,入侵植物,3,0.99
QZ_B_1,γ-变形菌,细菌,99,32.57
QZ_B_1,西施舌,底栖生物,39,12.83
QZ_B_1,中华鲟,珍稀鱼类,3,0.99
QZ_B_1,缢蛏,底栖生物,1,0.33
QZ_B_1,箭虫,浮游动物,4,1.32
QZ_B_1,中华哲水蚤,浮游动物,30,9.87
QZ_B_2,真鲷,鱼类,86,28.38
QZ_B_2,黑鲷,鱼类,14,4.62
QZ_B_2,放线菌,细菌,10,3.3
QZ_B_2,α-变形菌,细菌,95,31.35
QZ_B_2,花鲈,鱼类,6,1.98
QZ_B_2,互花米草,入侵植物,3,0.99
QZ_B_2,γ-变形菌,细菌,12,3.96
QZ_B_2,西施舌,底栖生物,34,11.22
QZ_B_2,中华鲟,珍稀鱼类,3,0.99
QZ_B_2,缢蛏,底栖生物,6,1.98
QZ_B_2,箭虫,浮游动物,6,1.98
QZ_B_2,中华哲水蚤,浮游动物,28,9.24
QZ_B_3,真鲷,鱼类,88,28.57
QZ_B_3,黑鲷,鱼类,9,2.92
QZ_B_3,放线菌,细菌,7,2.27
QZ_B_3,α-变形菌,细菌,106,34.42
QZ_B_3,花鲈,鱼类,8,2.6
QZ_B_3,互花米草,入侵植物,4,1.3
QZ_B_3,γ-变形菌,细菌,12,3.9
QZ_B_3,西施舌,底栖生物,2,0.65
QZ_B_3,中华鲟,珍稀鱼类,3,0.97
QZ_B_3,缢蛏,底栖生物,38,12.34
QZ_B_3,箭虫,浮游动物,4,1.3
QZ_B_3,中华哲水蚤,浮游动物,27,8.77
QZ_C_1,真鲷,鱼类,34,9.09
QZ_C_1,黑鲷,鱼类,2,0.53
QZ_C_1,放线菌,细菌,12,3.21
QZ_C_1,α-变形菌,细菌,186,49.73
QZ_C_1,花鲈,鱼类,2,0.53
QZ_C_1,互花米草,入侵植物,12,3.21
QZ_C_1,γ-变形菌,细菌,26,6.95
QZ_C_1,西施舌,底栖生物,11,2.94
QZ_C_1,中华鲟,珍稀鱼类,0,0.0
QZ_C_1,缢蛏,底栖生物,66,17.65
QZ_C_1,箭虫,浮游动物,0,0.0
QZ_C_1,中华哲水蚤,浮游动物,23,6.15
QZ_C_2,真鲷,鱼类,33,8.51
QZ_C_2,黑鲷,鱼类,4,1.03
QZ_C_2,放线菌,细菌,13,3.35
QZ_C_2,α-变形菌,细菌,27,6.96
QZ_C_2,花鲈,鱼类,3,0.77
QZ_C_2,互花米草,入侵植物,11,2.84
QZ_C_2,γ-变形菌,细菌,194,50.0
QZ_C_2,西施舌,底栖生物,10,2.58
QZ_C_2,中华鲟,珍稀鱼类,0,0.0
QZ_C_2,缢蛏,底栖生物,74,19.07
QZ_C_2,箭虫,浮游动物,0,0.0
QZ_C_2,中华哲水蚤,浮游动物,19,4.9
QZ_C_3,真鲷,鱼类,28,7.49
QZ_C_3,黑鲷,鱼类,4,1.07
QZ_C_3,放线菌,细菌,14,3.74
QZ_C_3,α-变形菌,细菌,183,48.93
QZ_C_3,花鲈,鱼类,0,0.0
QZ_C_3,互花米草,入侵植物,11,2.94
QZ_C_3,γ-变形菌,细菌,28,7.49
QZ_C_3,西施舌,底栖生物,13,3.48
QZ_C_3,中华鲟,珍稀鱼类,0,0.0
QZ_C_3,缢蛏,底栖生物,72,19.25
QZ_C_3,箭虫,浮游动物,0,0.0
QZ_C_3,中华哲水蚤,浮游动物,21,5.61
QZ_R_1,真鲷,鱼类,32,12.36
QZ_R_1,黑鲷,鱼类,0,0.0
QZ_R_1,放线菌,细菌,18,6.95
QZ_R_1,α-变形菌,细菌,154,59.46
QZ_R_1,花鲈,鱼类,1,0.39
QZ_R_1,互花米草,入侵植物,2,0.77
QZ_R_1,γ-变形菌,细菌,7,2.7
QZ_R_1,西施舌,底栖生物,1,0.39
QZ_R_1,中华鲟,珍稀鱼类,0,0.0
QZ_R_1,缢蛏,底栖生物,36,13.9
QZ_R_1,箭虫,浮游动物,0,0.0
QZ_R_1,中华哲水蚤,浮游动物,8,3.09
QZ_R_2,真鲷,鱼类,36,13.85
QZ_R_2,黑鲷,鱼类,0,0.0
QZ_R_2,放线菌,细菌,148,56.92
QZ_R_2,α-变形菌,细菌,16,6.15
QZ_R_2,花鲈,鱼类,0,0.0
QZ_R_2,互花米草,入侵植物,1,0.38
QZ_R_2,γ-变形菌,细菌,12,4.62
QZ_R_2,西施舌,底栖生物,1,0.38
QZ_R_2,中华鲟,珍稀鱼类,0,0.0
QZ_R_2,缢蛏,底栖生物,37,14.23
QZ_R_2,箭虫,浮游动物,0,0.0
QZ_R_2,中华哲水蚤,浮游动物,9,3.46
QZ_R_3,真鲷,鱼类,36,13.64
QZ_R_3,黑鲷,鱼类,2,0.76
QZ_R_3,放线菌,细菌,152,57.58
QZ_R_3,α-变形菌,细菌,12,4.55
QZ_R_3,花鲈,鱼类,0,0.0
QZ_R_3,互花米草,入侵植物,3,1.14
QZ_R_3,γ-变形菌,细菌,15,5.68
QZ_R_3,西施舌,底栖生物,1,0.38
QZ_R_3,中华鲟,珍稀鱼类,0,0.0
QZ_R_3,缢蛏,底栖生物,35,13.26
QZ_R_3,箭虫,浮游动物,0,0.0
QZ_R_3,中华哲水蚤,浮游动物,8,3.03
